city,year,month,station,溫度
高雄市,2010,5,林園,28.18
新北市,2010,5,板橋,25.93
臺北市,2010,5,松山,25.74
花蓮縣,2010,5,花蓮,26.09
高雄市,2010,5,前金,27.25
高雄市,2010,5,前鎮,28.59
南投縣,2010,5,南投,26.79
屏東縣,2010,5,屏東,28.47
屏東縣,2010,5,恆春,27.35
高雄市,2010,5,美濃,27.71
苗栗縣,2010,5,苗栗,25.41
南投縣,2010,5,埔里,25.49
桃園市,2010,5,桃園,25.22
基隆市,2010,5,基隆,24.77
雲林縣,2010,5,崙背,26.26
高雄市,2010,5,復興,27.88
新竹縣,2010,5,湖口,24.78
臺南市,2010,5,善化,26.9
新北市,2010,5,菜寮,25.89
臺北市,2010,5,陽明,18
新竹市,2010,5,新竹,25.51
新北市,2010,5,新店,25.58
新北市,2010,5,新莊,25.08
嘉義縣,2010,5,新港,26.34
臺南市,2010,5,新營,27.35
高雄市,2010,5,楠梓,27.36
新北市,2010,5,萬里,23.98
臺北市,2010,5,萬華,25.72
嘉義市,2010,5,嘉義,27.43
彰化縣,2010,5,彰化,26.25
雲林縣,2010,5,臺西,26.1
臺東縣,2010,5,臺東,26.9
臺南市,2010,5,臺南,27.65
高雄市,2010,5,鳳山,28.42
屏東縣,2010,5,潮州,28.08
彰化縣,2010,5,線西,25.61
高雄市,2010,5,橋頭,27.71
苗栗縣,2010,5,頭份,25.4
桃園市,2010,5,龍潭,24.27
臺中市,2010,5,豐原,26.01
臺東縣,2010,5,關山,25.88
桃園市,2010,5,觀音,24.82
彰化縣,2010,6,二林,27.46
新北市,2010,6,三重,26.78
苗栗縣,2010,6,三義,24.29
新北市,2010,6,土城,26.82
臺北市,2010,6,士林,26.34
臺中市,2010,6,大里,28.21
桃園市,2010,6,大園,26.43
高雄市,2010,6,大寮,28.16
高雄市,2010,6,小港,28.4
臺北市,2010,6,中山,27.14
桃園市,2010,6,中壢,26.17
高雄市,2010,6,仁武,28.87
雲林縣,2010,6,斗六,28.06
宜蘭縣,2010,6,冬山,26.02
臺北市,2010,6,古亭,26.57
高雄市,2010,6,左營,29.95
桃園市,2010,6,平鎮,26.18
新北市,2010,6,永和,26.83
臺南市,2010,6,安南,28.19
嘉義縣,2010,6,朴子,28.1
新北市,2010,6,汐止,26.3
南投縣,2010,6,竹山,26.12
新竹縣,2010,6,竹東,26.12
臺中市,2010,6,西屯,26.42
臺中市,2010,6,沙鹿,26.88
宜蘭縣,2010,6,宜蘭,25.98
臺中市,2010,6,忠明,27.86
新北市,2010,6,林口,25.19
高雄市,2010,6,林園,28.73
新北市,2010,6,板橋,26.89
臺北市,2010,6,松山,26.86
花蓮縣,2010,6,花蓮,27.14
高雄市,2010,6,前金,28.14
高雄市,2010,6,前鎮,29.02
南投縣,2010,6,南投,26.87
屏東縣,2010,6,屏東,28.48
屏東縣,2010,6,恆春,27.96
高雄市,2010,6,美濃,27.33
苗栗縣,2010,6,苗栗,27.02
南投縣,2010,6,埔里,25.09
桃園市,2010,6,桃園,26.06
基隆市,2010,6,基隆,25.9
雲林縣,2010,6,崙背,27.42
高雄市,2010,6,復興,28.57
新竹縣,2010,6,湖口,26.26
臺南市,2010,6,善化,27.6
新北市,2010,6,菜寮,26.84
臺北市,2010,6,陽明,19.29
新竹市,2010,6,新竹,27.19
新北市,2010,6,新店,26.39
新北市,2010,6,新莊,26.43
嘉義縣,2010,6,新港,27.33
臺南市,2010,6,新營,28.14
高雄市,2010,6,楠梓,27.87
新北市,2010,6,萬里,25.48
臺北市,2010,6,萬華,26.63
嘉義市,2010,6,嘉義,27.94
彰化縣,2010,6,彰化,27.3
雲林縣,2010,6,臺西,27.41
臺東縣,2010,6,臺東,27.97
臺南市,2010,6,臺南,28.24
高雄市,2010,6,鳳山,28.48
屏東縣,2010,6,潮州,28.23
彰化縣,2010,6,線西,26.59
高雄市,2010,6,橋頭,28.04
苗栗縣,2010,6,頭份,27.2
桃園市,2010,6,龍潭,25.53
臺中市,2010,6,豐原,26.74
臺東縣,2010,6,關山,27.21
桃園市,2010,6,觀音,26.53
彰化縣,2010,7,二林,29.83
新北市,2010,7,三重,30.84
苗栗縣,2010,7,三義,26.58
新北市,2010,7,土城,30.46
臺北市,2010,7,士林,30.47
臺中市,2010,7,大里,29.47
桃園市,2010,7,大園,30.07
高雄市,2010,7,大寮,29.25
高雄市,2010,7,小港,29.52
臺北市,2010,7,中山,31.09
桃園市,2010,7,中壢,29.82
高雄市,2010,7,仁武,29.67
雲林縣,2010,7,斗六,29.66
宜蘭縣,2010,7,冬山,29.67
臺北市,2010,7,古亭,30.42
高雄市,2010,7,左營,30.47
桃園市,2010,7,平鎮,29.83
新北市,2010,7,永和,30.52
臺南市,2010,7,安南,29.35
嘉義縣,2010,7,朴子,29.52
新北市,2010,7,汐止,30.55
南投縣,2010,7,竹山,27.63
新竹縣,2010,7,竹東,29.17
臺中市,2010,7,西屯,28.71
臺中市,2010,7,沙鹿,29.14
宜蘭縣,2010,7,宜蘭,29.2
臺中市,2010,7,忠明,30.19
新北市,2010,7,林口,29.02
高雄市,2010,7,林園,29.06
新北市,2010,7,板橋,30.91
臺北市,2010,7,松山,30.81
花蓮縣,2010,7,花蓮,29.5
高雄市,2010,7,前金,29.81
高雄市,2010,7,前鎮,30.24
南投縣,2010,7,南投,28.71
屏東縣,2010,7,屏東,29.22
屏東縣,2010,7,恆春,28.64
高雄市,2010,7,美濃,28.15
苗栗縣,2010,7,苗栗,29.94
南投縣,2010,7,埔里,26.66
桃園市,2010,7,桃園,29.49
基隆市,2010,7,基隆,30.16
雲林縣,2010,7,崙背,29.12
高雄市,2010,7,復興,29.45
新竹縣,2010,7,湖口,29.5
臺南市,2010,7,善化,28.62
新北市,2010,7,菜寮,31.07
臺北市,2010,7,陽明,21.73
新竹市,2010,7,新竹,30.27
新北市,2010,7,新店,30.11
新北市,2010,7,新莊,30.99
嘉義縣,2010,7,新港,29.13
臺南市,2010,7,新營,29.37
高雄市,2010,7,楠梓,29.45
新北市,2010,7,萬里,29.22
臺北市,2010,7,萬華,30.79
嘉義市,2010,7,嘉義,29.23
彰化縣,2010,7,彰化,29.93
雲林縣,2010,7,臺西,29.08
臺東縣,2010,7,臺東,29.58
臺南市,2010,7,臺南,29.49
高雄市,2010,7,鳳山,29.55
屏東縣,2010,7,潮州,29.09
彰化縣,2010,7,線西,29.01
高雄市,2010,7,橋頭,29.08
苗栗縣,2010,7,頭份,30.25
桃園市,2010,7,龍潭,28.92
臺中市,2010,7,豐原,28.55
臺東縣,2010,7,關山,29.13
桃園市,2010,7,觀音,29.87
彰化縣,2010,8,二林,29.12
新北市,2010,8,三重,30.26
苗栗縣,2010,8,三義,26.48
新北市,2010,8,土城,30.39
臺北市,2010,8,士林,30.04
桃園市,2010,8,大園,30.09
高雄市,2010,8,大寮,28.66
高雄市,2010,8,小港,29.34
臺北市,2010,8,中山,30.34
高雄市,2010,8,仁武,29.21
雲林縣,2010,8,斗六,29.66
宜蘭縣,2010,8,冬山,29.47
臺北市,2010,8,古亭,30.2
高雄市,2010,8,左營,30
桃園市,2010,8,平鎮,29.92
新北市,2010,8,永和,30.42
臺南市,2010,8,安南,29.44
嘉義縣,2010,8,朴子,29.69
新北市,2010,8,汐止,30.03
南投縣,2010,8,竹山,27.42
新竹縣,2010,8,竹東,29.17
臺中市,2010,8,西屯,29.1
臺中市,2010,8,沙鹿,29.43
宜蘭縣,2010,8,宜蘭,29.22
臺中市,2010,8,忠明,30.07
新北市,2010,8,林口,28.84
高雄市,2010,8,林園,28.88
新北市,2010,8,板橋,30.68
臺北市,2010,8,松山,30
花蓮縣,2010,8,花蓮,29.66
高雄市,2010,8,前金,29.95
高雄市,2010,8,前鎮,30.11
南投縣,2010,8,南投,28.56
屏東縣,2010,8,屏東,29.04
屏東縣,2010,8,恆春,28.69
高雄市,2010,8,美濃,27.93
苗栗縣,2010,8,苗栗,29.69
南投縣,2010,8,埔里,26.67
桃園市,2010,8,桃園,29.42
基隆市,2010,8,基隆,29.76
雲林縣,2010,8,崙背,29.22
高雄市,2010,8,復興,29.37
新竹縣,2010,8,湖口,29.71
臺南市,2010,8,善化,28.67
新北市,2010,8,菜寮,30.76
臺北市,2010,8,陽明,21.83
新竹市,2010,8,新竹,30.22
新北市,2010,8,新店,29.9
新北市,2010,8,新莊,30.86
嘉義縣,2010,8,新港,29.7
臺南市,2010,8,新營,29.39
高雄市,2010,8,楠梓,29.22
新北市,2010,8,萬里,28.88
臺北市,2010,8,萬華,30.95
嘉義市,2010,8,嘉義,29.15
彰化縣,2010,8,彰化,29.88
雲林縣,2010,8,臺西,29.22
臺東縣,2010,8,臺東,29.59
臺南市,2010,8,臺南,29.66
高雄市,2010,8,鳳山,29.32
屏東縣,2010,8,潮州,28.65
彰化縣,2010,8,線西,28.86
高雄市,2010,8,橋頭,29.3
苗栗縣,2010,8,頭份,29.91
桃園市,2010,8,龍潭,29.02
臺中市,2010,8,豐原,28.4
臺東縣,2010,8,關山,28.35
桃園市,2010,8,觀音,30.19
彰化縣,2010,9,二林,27.94
新北市,2010,9,三重,29.04
苗栗縣,2010,9,三義,25.65
新北市,2010,9,土城,29.16
臺北市,2010,9,士林,28.89
臺中市,2010,9,大里,27.74
桃園市,2010,9,大園,28.57
高雄市,2010,9,大寮,27.97
高雄市,2010,9,小港,28.44
臺北市,2010,9,中山,29.2
桃園市,2010,9,中壢,27.85
高雄市,2010,9,仁武,28.22
雲林縣,2010,9,斗六,28.64
宜蘭縣,2010,9,冬山,28.18
臺北市,2010,9,古亭,29.05
高雄市,2010,9,左營,28.65
桃園市,2010,9,平鎮,28.34
新北市,2010,9,永和,29.17
臺南市,2010,9,安南,28.55
嘉義縣,2010,9,朴子,28.42
新北市,2010,9,汐止,28.85
南投縣,2010,9,竹山,26.73
新竹縣,2010,9,竹東,27.93
臺中市,2010,9,西屯,28.17
臺中市,2010,9,沙鹿,28.21
宜蘭縣,2010,9,宜蘭,28.13
臺中市,2010,9,忠明,28.96
新北市,2010,9,林口,27.41
高雄市,2010,9,林園,28.35
新北市,2010,9,板橋,29.38
臺北市,2010,9,松山,28.74
花蓮縣,2010,9,花蓮,28.03
高雄市,2010,9,前金,28.71
高雄市,2010,9,前鎮,29.13
南投縣,2010,9,南投,27.78
屏東縣,2010,9,屏東,28.42
屏東縣,2010,9,恆春,27.4
高雄市,2010,9,美濃,27.14
苗栗縣,2010,9,苗栗,28.21
南投縣,2010,9,埔里,26.25
桃園市,2010,9,桃園,27.81
基隆市,2010,9,基隆,28.48
雲林縣,2010,9,崙背,28.04
高雄市,2010,9,復興,28.56
新竹縣,2010,9,湖口,28.24
臺南市,2010,9,善化,27.86
新北市,2010,9,菜寮,29.59
臺北市,2010,9,陽明,20.61
新竹市,2010,9,新竹,28.75
新北市,2010,9,新店,28.89
新北市,2010,9,新莊,29.55
嘉義縣,2010,9,新港,27.8
臺南市,2010,9,新營,28.33
高雄市,2010,9,楠梓,28.22
新北市,2010,9,萬里,28.1
臺北市,2010,9,萬華,28.79
嘉義市,2010,9,嘉義,28.4
彰化縣,2010,9,彰化,28.5
雲林縣,2010,9,臺西,28.14
臺東縣,2010,9,臺東,27.7
臺南市,2010,9,臺南,28.46
高雄市,2010,9,鳳山,28.14
屏東縣,2010,9,潮州,27.75
彰化縣,2010,9,線西,27.34
高雄市,2010,9,橋頭,28.58
苗栗縣,2010,9,頭份,28.25
桃園市,2010,9,龍潭,27.57
臺中市,2010,9,豐原,27.41
臺東縣,2010,9,關山,26.31
桃園市,2010,9,觀音,28.79
彰化縣,2010,10,二林,25.23
新北市,2010,10,三重,24.75
苗栗縣,2010,10,三義,21.91
新北市,2010,10,土城,25.08
臺北市,2010,10,士林,24.83
臺中市,2010,10,大里,25.37
桃園市,2010,10,大園,24.35
高雄市,2010,10,大寮,26.77
高雄市,2010,10,小港,27.08
臺北市,2010,10,中山,24.89
桃園市,2010,10,中壢,23.64
高雄市,2010,10,仁武,26.61
雲林縣,2010,10,斗六,26.28
宜蘭縣,2010,10,冬山,23.75
臺北市,2010,10,古亭,24.64
高雄市,2010,10,左營,27.09
桃園市,2010,10,平鎮,23.93
新北市,2010,10,永和,24.41
臺南市,2010,10,安南,26.64
嘉義縣,2010,10,朴子,25.87
新北市,2010,10,汐止,24.2
南投縣,2010,10,竹山,24.79
新竹縣,2010,10,竹東,24.43
臺中市,2010,10,西屯,25.41
臺中市,2010,10,沙鹿,25
宜蘭縣,2010,10,宜蘭,23.77
臺中市,2010,10,忠明,26.52
新北市,2010,10,林口,22.67
高雄市,2010,10,林園,27.37
新北市,2010,10,板橋,25.01
臺北市,2010,10,松山,24.24
花蓮縣,2010,10,花蓮,25.63
高雄市,2010,10,前金,27.09
高雄市,2010,10,前鎮,27.66
南投縣,2010,10,南投,25.64
屏東縣,2010,10,屏東,27.04
屏東縣,2010,10,恆春,26.15
高雄市,2010,10,美濃,26.02
苗栗縣,2010,10,苗栗,24.67
南投縣,2010,10,埔里,24.69
桃園市,2010,10,桃園,23.3
基隆市,2010,10,基隆,24.42
雲林縣,2010,10,崙背,25.27
高雄市,2010,10,復興,27.1
新竹縣,2010,10,湖口,24.16
臺南市,2010,10,善化,26.29
新北市,2010,10,菜寮,25.22
臺北市,2010,10,陽明,16.56
新竹市,2010,10,新竹,24.88
新北市,2010,10,新店,24.55
新北市,2010,10,新莊,25.21
嘉義縣,2010,10,新港,25.11
臺南市,2010,10,新營,26.04
高雄市,2010,10,楠梓,26.27
新北市,2010,10,萬里,24.26
臺北市,2010,10,萬華,24.63
嘉義市,2010,10,嘉義,26.18
彰化縣,2010,10,彰化,25.34
雲林縣,2010,10,臺西,25.21
臺東縣,2010,10,臺東,26.06
臺南市,2010,10,臺南,26.6
高雄市,2010,10,鳳山,27.1
屏東縣,2010,10,潮州,26.58
彰化縣,2010,10,線西,24.43
高雄市,2010,10,橋頭,26.92
苗栗縣,2010,10,頭份,24.79
桃園市,2010,10,龍潭,23.35
臺中市,2010,10,豐原,24.54
臺東縣,2010,10,關山,24.3
桃園市,2010,10,觀音,24.69
彰化縣,2010,11,二林,21.33
新北市,2010,11,三重,21.3
苗栗縣,2010,11,三義,18.32
新北市,2010,11,土城,21.75
臺北市,2010,11,士林,21.6
臺中市,2010,11,大里,20.94
桃園市,2010,11,大園,21
高雄市,2010,11,大寮,23.5
高雄市,2010,11,小港,23.77
臺北市,2010,11,中山,21.43
桃園市,2010,11,中壢,20.46
高雄市,2010,11,仁武,23.07
雲林縣,2010,11,斗六,22.12
宜蘭縣,2010,11,冬山,20.25
臺北市,2010,11,古亭,21.31
高雄市,2010,11,左營,23.2
桃園市,2010,11,平鎮,20.74
新北市,2010,11,永和,21.17
臺南市,2010,11,安南,22.69
嘉義縣,2010,11,朴子,21.88
新北市,2010,11,汐止,20.92
南投縣,2010,11,竹山,20.81
新竹縣,2010,11,竹東,20.72
臺中市,2010,11,西屯,21.66
臺中市,2010,11,沙鹿,21.02
宜蘭縣,2010,11,宜蘭,20.06
臺中市,2010,11,忠明,22.15
新北市,2010,11,林口,19.77
高雄市,2010,11,林園,24.32
新北市,2010,11,板橋,21.8
臺北市,2010,11,松山,20.9
花蓮縣,2010,11,花蓮,22.49
高雄市,2010,11,前金,23.28
高雄市,2010,11,前鎮,24.63
南投縣,2010,11,南投,21.52
屏東縣,2010,11,屏東,23.84
屏東縣,2010,11,恆春,23.91
高雄市,2010,11,美濃,22.56
苗栗縣,2010,11,苗栗,20.87
南投縣,2010,11,埔里,20.68
桃園市,2010,11,桃園,20.53
基隆市,2010,11,基隆,21.06
雲林縣,2010,11,崙背,21.52
高雄市,2010,11,復興,23.65
新竹縣,2010,11,湖口,20.65
臺南市,2010,11,善化,22.06
新北市,2010,11,菜寮,21.8
臺北市,2010,11,陽明,13.08
新竹市,2010,11,新竹,21.46
新北市,2010,11,新店,21.58
新北市,2010,11,新莊,21.84
嘉義縣,2010,11,新港,20.97
臺南市,2010,11,新營,22.15
高雄市,2010,11,楠梓,22.57
新北市,2010,11,萬里,21.05
臺北市,2010,11,萬華,21.36
嘉義市,2010,11,嘉義,22.07
彰化縣,2010,11,彰化,21.07
雲林縣,2010,11,臺西,21.52
臺東縣,2010,11,臺東,23.1
臺南市,2010,11,臺南,22.53
高雄市,2010,11,鳳山,23.53
屏東縣,2010,11,潮州,23.53
彰化縣,2010,11,線西,20.61
高雄市,2010,11,橋頭,23.12
苗栗縣,2010,11,頭份,21.05
桃園市,2010,11,龍潭,19.99
臺中市,2010,11,豐原,20.55
臺東縣,2010,11,關山,20.86
桃園市,2010,11,觀音,21.32
彰化縣,2010,12,二林,17.62
新北市,2010,12,三重,17.59
