city,year,month,station,放,Season
籓玭カ,2009,12,穝犁,18.73,winter
籓玭カ,2009,12,籓玭,18.97,winter
籓玭カ,2010,1,玭,17.48,winter
籓玭カ,2010,1,到て,17.88,winter
籓玭カ,2010,1,穝犁,18.34,winter
籓玭カ,2010,1,籓玭,18.53,winter
籓玭カ,2010,2,玭,19.82,winter
籓玭カ,2010,2,到て,19.71,winter
籓玭カ,2010,2,穝犁,20.16,winter
籓玭カ,2010,2,籓玭,20.32,winter
籓玭カ,2010,3,玭,22.48,spring
籓玭カ,2010,3,到て,22.02,spring
籓玭カ,2010,3,穝犁,22.54,spring
籓玭カ,2010,3,籓玭,22.91,spring
籓玭カ,2010,4,玭,23.34,spring
籓玭カ,2010,4,到て,23.09,spring
籓玭カ,2010,4,穝犁,23.41,spring
籓玭カ,2010,4,籓玭,23.88,spring
籓玭カ,2010,5,玭,27.5,spring
籓玭カ,2010,5,到て,26.9,spring
籓玭カ,2010,5,穝犁,27.35,spring
籓玭カ,2010,5,籓玭,27.65,spring
籓玭カ,2011,1,玭,15.25,winter
籓玭カ,2011,1,到て,16.89,winter
籓玭カ,2011,1,穝犁,15.78,winter
籓玭カ,2011,1,籓玭,15.93,winter
籓玭カ,2011,2,玭,17.76,winter
籓玭カ,2011,2,到て,19.34,winter
籓玭カ,2011,2,穝犁,17.96,winter
籓玭カ,2011,2,籓玭,18.62,winter
籓玭カ,2011,3,玭,19.32,spring
籓玭カ,2011,3,到て,21.03,spring
籓玭カ,2011,3,穝犁,19.28,spring
籓玭カ,2011,3,籓玭,19.8,spring
籓玭カ,2011,4,玭,24.02,spring
籓玭カ,2011,4,到て,25.8,spring
籓玭カ,2011,4,穝犁,23.96,spring
籓玭カ,2011,4,籓玭,24.29,spring
籓玭カ,2011,5,玭,27.06,spring
籓玭カ,2011,5,到て,26.96,spring
籓玭カ,2011,5,穝犁,27.01,spring
籓玭カ,2011,5,籓玭,27.46,spring
籓玭カ,2010,6,玭,28.19,summer
籓玭カ,2010,6,到て,27.6,summer
籓玭カ,2010,6,穝犁,28.14,summer
籓玭カ,2010,6,籓玭,28.24,summer
籓玭カ,2010,7,玭,29.35,summer
籓玭カ,2010,7,到て,28.62,summer
籓玭カ,2010,7,穝犁,29.37,summer
籓玭カ,2010,7,籓玭,29.49,summer
籓玭カ,2010,8,玭,29.44,summer
籓玭カ,2010,8,到て,28.67,summer
籓玭カ,2010,8,穝犁,29.39,summer
籓玭カ,2010,8,籓玭,29.66,summer
籓玭カ,2010,9,玭,28.55,fall
籓玭カ,2010,9,到て,27.86,fall
籓玭カ,2010,9,穝犁,28.33,fall
籓玭カ,2010,9,籓玭,28.46,fall
籓玭カ,2011,6,玭,29.85,summer
籓玭カ,2011,6,到て,29.2,summer
籓玭カ,2011,6,穝犁,29.39,summer
籓玭カ,2011,6,籓玭,29.82,summer
籓玭カ,2011,7,玭,29.53,summer
籓玭カ,2011,7,到て,28.62,summer
籓玭カ,2011,7,穝犁,29.05,summer
籓玭カ,2011,7,籓玭,29.48,summer
籓玭カ,2011,8,玭,30.39,summer
籓玭カ,2011,8,到て,29.52,summer
籓玭カ,2011,8,穝犁,29.64,summer
籓玭カ,2011,8,籓玭,29.77,summer
籓玭カ,2011,9,玭,29.29,fall
籓玭カ,2011,9,到て,28.24,fall
籓玭カ,2011,9,穝犁,28.54,fall
籓玭カ,2011,9,籓玭,29.01,fall
籓玭カ,2010,10,玭,26.64,fall
籓玭カ,2010,10,到て,26.29,fall
籓玭カ,2010,10,穝犁,26.04,fall
籓玭カ,2010,10,籓玭,26.6,fall
籓玭カ,2010,11,玭,22.69,fall
籓玭カ,2010,11,到て,22.06,fall
籓玭カ,2010,11,穝犁,22.15,fall
籓玭カ,2010,11,籓玭,22.53,fall
籓玭カ,2010,12,玭,19.75,winter
籓玭カ,2010,12,到て,19.38,winter
籓玭カ,2010,12,穝犁,19.12,winter
籓玭カ,2010,12,籓玭,19.62,winter
籓玭カ,2011,10,玭,26.45,fall
籓玭カ,2011,10,到て,26.12,fall
籓玭カ,2011,10,穝犁,25.76,fall
籓玭カ,2011,10,籓玭,26.45,fall
籓玭カ,2011,11,玭,24.31,fall
籓玭カ,2011,11,到て,24.08,fall
籓玭カ,2011,11,穝犁,23.98,fall
籓玭カ,2011,11,籓玭,24.36,fall
籓玭カ,2011,12,玭,18.69,winter
籓玭カ,2011,12,到て,18.67,winter
籓玭カ,2011,12,穝犁,18.73,winter
籓玭カ,2011,12,籓玭,18.84,winter
