city,year,month,station,溫度,Season
彰化縣,2009,4,二林,22.71,Spring
新北市,2009,4,三重,22.21,Spring
苗栗縣,2009,4,三義,19.53,Spring
新北市,2009,4,土城,21.44,Spring
臺北市,2009,4,士林,21.3,Spring
臺中市,2009,4,大里,23.42,Spring
桃園市,2009,4,大園,20.33,Spring
高雄市,2009,4,大寮,24.79,Spring
高雄市,2009,4,小港,25.82,Spring
臺北市,2009,4,中山,21.04,Spring
桃園市,2009,4,中壢,20.57,Spring
高雄市,2009,4,仁武,25.01,Spring
雲林縣,2009,4,斗六,23.26,Spring
宜蘭縣,2009,4,冬山,20.91,Spring
臺北市,2009,4,古亭,21.77,Spring
高雄市,2009,4,左營,24.57,Spring
桃園市,2009,4,平鎮,20.91,Spring
新北市,2009,4,永和,21.65,Spring
臺南市,2009,4,安南,23.97,Spring
嘉義縣,2009,4,朴子,22.96,Spring
新北市,2009,4,汐止,21.14,Spring
南投縣,2009,4,竹山,22.32,Spring
新竹縣,2009,4,竹東,21.09,Spring
臺中市,2009,4,西屯,22.25,Spring
臺中市,2009,4,沙鹿,22.53,Spring
宜蘭縣,2009,4,宜蘭,21.65,Spring
臺中市,2009,4,忠明,22.23,Spring
新北市,2009,4,林口,19.32,Spring
高雄市,2009,4,林園,25.18,Spring
新北市,2009,4,板橋,21.65,Spring
臺北市,2009,4,松山,21.42,Spring
花蓮縣,2009,4,花蓮,21.95,Spring
高雄市,2009,4,前金,25.13,Spring
高雄市,2009,4,前鎮,25.43,Spring
南投縣,2009,4,南投,22.74,Spring
屏東縣,2009,4,屏東,25.16,Spring
屏東縣,2009,4,恆春,25.79,Spring
高雄市,2009,4,美濃,25.38,Spring
苗栗縣,2009,4,苗栗,21.66,Spring
南投縣,2009,4,埔里,22.03,Spring
桃園市,2009,4,桃園,21.04,Spring
基隆市,2009,4,基隆,20.94,Spring
雲林縣,2009,4,崙背,22.02,Spring
高雄市,2009,4,復興,25.87,Spring
新竹縣,2009,4,湖口,21.46,Spring
臺南市,2009,4,善化,22.97,Spring
新北市,2009,4,菜寮,21.86,Spring
臺北市,2009,4,陽明,15.07,Spring
新竹市,2009,4,新竹,22.02,Spring
新北市,2009,4,新店,21.15,Spring
新北市,2009,4,新莊,21.01,Spring
嘉義縣,2009,4,新港,22.33,Spring
臺南市,2009,4,新營,23.82,Spring
高雄市,2009,4,楠梓,24.66,Spring
新北市,2009,4,萬里,20.41,Spring
臺北市,2009,4,萬華,21.39,Spring
嘉義市,2009,4,嘉義,23.46,Spring
彰化縣,2009,4,彰化,22.61,Spring
雲林縣,2009,4,臺西,22.7,Spring
臺東縣,2009,4,臺東,23.39,Spring
臺南市,2009,4,臺南,23.92,Spring
高雄市,2009,4,鳳山,24.9,Spring
屏東縣,2009,4,潮州,24.79,Spring
彰化縣,2009,4,線西,23.21,Spring
高雄市,2009,4,橋頭,25.11,Spring
苗栗縣,2009,4,頭份,21.13,Spring
桃園市,2009,4,龍潭,19.64,Spring
臺中市,2009,4,豐原,22.08,Spring
臺東縣,2009,4,關山,21.42,Spring
桃園市,2009,4,觀音,20.88,Spring
彰化縣,2009,5,二林,26.08,Spring
新北市,2009,5,三重,26.77,Spring
苗栗縣,2009,5,三義,23.01,Spring
新北市,2009,5,土城,25.44,Spring
臺北市,2009,5,士林,25.35,Spring
臺中市,2009,5,大里,27.17,Spring
桃園市,2009,5,大園,25.2,Spring
高雄市,2009,5,大寮,27.07,Spring
高雄市,2009,5,小港,28.26,Spring
臺北市,2009,5,中山,25.13,Spring
桃園市,2009,5,中壢,24.75,Spring
高雄市,2009,5,仁武,27.68,Spring
雲林縣,2009,5,斗六,26.71,Spring
宜蘭縣,2009,5,冬山,24.96,Spring
臺北市,2009,5,古亭,25.67,Spring
高雄市,2009,5,左營,27.43,Spring
桃園市,2009,5,平鎮,25.11,Spring
新北市,2009,5,永和,25.7,Spring
臺南市,2009,5,安南,27.34,Spring
嘉義縣,2009,5,朴子,26.4,Spring
新北市,2009,5,汐止,24.65,Spring
南投縣,2009,5,竹山,25.52,Spring
新竹縣,2009,5,竹東,25.25,Spring
臺中市,2009,5,西屯,25.65,Spring
臺中市,2009,5,沙鹿,26.15,Spring
宜蘭縣,2009,5,宜蘭,25.08,Spring
臺中市,2009,5,忠明,25.9,Spring
新北市,2009,5,林口,24.05,Spring
高雄市,2009,5,林園,27.43,Spring
新北市,2009,5,板橋,25.75,Spring
臺北市,2009,5,松山,25.2,Spring
花蓮縣,2009,5,花蓮,25.21,Spring
高雄市,2009,5,前金,27.94,Spring
高雄市,2009,5,前鎮,28.09,Spring
南投縣,2009,5,南投,26.16,Spring
屏東縣,2009,5,屏東,27.55,Spring
屏東縣,2009,5,恆春,27.78,Spring
高雄市,2009,5,美濃,27.72,Spring
苗栗縣,2009,5,苗栗,25.67,Spring
南投縣,2009,5,埔里,24.73,Spring
桃園市,2009,5,桃園,25.34,Spring
基隆市,2009,5,基隆,24.35,Spring
雲林縣,2009,5,崙背,25.3,Spring
高雄市,2009,5,復興,28.2,Spring
新竹縣,2009,5,湖口,25.05,Spring
臺南市,2009,5,善化,26.12,Spring
新北市,2009,5,菜寮,25.95,Spring
臺北市,2009,5,陽明,18.78,Spring
新竹市,2009,5,新竹,26.07,Spring
新北市,2009,5,新店,24.91,Spring
新北市,2009,5,新莊,25.15,Spring
嘉義縣,2009,5,新港,25.87,Spring
臺南市,2009,5,新營,27.06,Spring
高雄市,2009,5,楠梓,27.61,Spring
新北市,2009,5,萬里,23.26,Spring
臺北市,2009,5,萬華,25.42,Spring
嘉義市,2009,5,嘉義,26.81,Spring
彰化縣,2009,5,彰化,26.48,Spring
雲林縣,2009,5,臺西,26.19,Spring
臺東縣,2009,5,臺東,26.28,Spring
臺南市,2009,5,臺南,27.28,Spring
高雄市,2009,5,鳳山,27.65,Spring
屏東縣,2009,5,潮州,26.92,Spring
彰化縣,2009,5,線西,26.55,Spring
高雄市,2009,5,橋頭,27.95,Spring
苗栗縣,2009,5,頭份,25,Spring
桃園市,2009,5,龍潭,23.86,Spring
臺中市,2009,5,豐原,25.95,Spring
臺東縣,2009,5,關山,25,Spring
桃園市,2009,5,觀音,25.21,Spring
彰化縣,2009,6,二林,28.42,Summer
新北市,2009,6,三重,29.04,Summer
苗栗縣,2009,6,三義,25.48,Summer
新北市,2009,6,土城,28.4,Summer
臺北市,2009,6,士林,28.33,Summer
臺中市,2009,6,大里,29.28,Summer
桃園市,2009,6,大園,28.53,Summer
高雄市,2009,6,大寮,28.45,Summer
高雄市,2009,6,小港,29.61,Summer
臺北市,2009,6,中山,28.33,Summer
桃園市,2009,6,中壢,27.52,Summer
高雄市,2009,6,仁武,29.2,Summer
雲林縣,2009,6,斗六,28.86,Summer
宜蘭縣,2009,6,冬山,27.55,Summer
臺北市,2009,6,古亭,28.48,Summer
高雄市,2009,6,左營,28.93,Summer
桃園市,2009,6,平鎮,27.95,Summer
新北市,2009,6,永和,28.63,Summer
臺南市,2009,6,安南,29.05,Summer
嘉義縣,2009,6,朴子,28.35,Summer
新北市,2009,6,汐止,27.75,Summer
南投縣,2009,6,竹山,27.21,Summer
新竹縣,2009,6,竹東,27.61,Summer
臺中市,2009,6,西屯,27.65,Summer
臺中市,2009,6,沙鹿,27.48,Summer
宜蘭縣,2009,6,宜蘭,28.09,Summer
臺中市,2009,6,忠明,27.9,Summer
新北市,2009,6,林口,26.99,Summer
高雄市,2009,6,林園,28.82,Summer
新北市,2009,6,板橋,28.53,Summer
臺北市,2009,6,松山,28.21,Summer
花蓮縣,2009,6,花蓮,28.01,Summer
高雄市,2009,6,前金,29.36,Summer
高雄市,2009,6,前鎮,29.37,Summer
南投縣,2009,6,南投,28.13,Summer
屏東縣,2009,6,屏東,28.81,Summer
屏東縣,2009,6,恆春,28.66,Summer
高雄市,2009,6,美濃,28.81,Summer
苗栗縣,2009,6,苗栗,28.64,Summer
南投縣,2009,6,埔里,26.27,Summer
桃園市,2009,6,桃園,28.51,Summer
基隆市,2009,6,基隆,27.5,Summer
雲林縣,2009,6,崙背,27.51,Summer
高雄市,2009,6,復興,28.48,Summer
新竹縣,2009,6,湖口,27.56,Summer
臺南市,2009,6,善化,27.67,Summer
新北市,2009,6,菜寮,28.83,Summer
臺北市,2009,6,陽明,21.47,Summer
新竹市,2009,6,新竹,28.7,Summer
新北市,2009,6,新店,27.73,Summer
新北市,2009,6,新莊,27.97,Summer
嘉義縣,2009,6,新港,28.07,Summer
臺南市,2009,6,新營,28.66,Summer
高雄市,2009,6,楠梓,29.16,Summer
新北市,2009,6,萬里,26.47,Summer
臺北市,2009,6,萬華,29.1,Summer
嘉義市,2009,6,嘉義,28.47,Summer
彰化縣,2009,6,彰化,28.99,Summer
雲林縣,2009,6,臺西,28.3,Summer
臺東縣,2009,6,臺東,28.82,Summer
臺南市,2009,6,臺南,28.65,Summer
高雄市,2009,6,鳳山,28.9,Summer
屏東縣,2009,6,潮州,28.42,Summer
彰化縣,2009,6,線西,28.7,Summer
高雄市,2009,6,橋頭,28.73,Summer
苗栗縣,2009,6,頭份,27.85,Summer
桃園市,2009,6,龍潭,26.56,Summer
臺中市,2009,6,豐原,27.96,Summer
臺東縣,2009,6,關山,27.6,Summer
桃園市,2009,6,觀音,28.09,Summer
彰化縣,2009,7,二林,29.88,Summer
新北市,2009,7,三重,30.92,Summer
苗栗縣,2009,7,三義,26.69,Summer
新北市,2009,7,土城,30.33,Summer
臺北市,2009,7,士林,30.08,Summer
臺中市,2009,7,大里,30.63,Summer
桃園市,2009,7,大園,30.41,Summer
高雄市,2009,7,大寮,29.28,Summer
高雄市,2009,7,小港,30.35,Summer
臺北市,2009,7,中山,30.86,Summer
桃園市,2009,7,中壢,29.39,Summer
高雄市,2009,7,仁武,29.93,Summer
雲林縣,2009,7,斗六,30.15,Summer
宜蘭縣,2009,7,冬山,29.51,Summer
臺北市,2009,7,古亭,30.44,Summer
高雄市,2009,7,左營,29.54,Summer
桃園市,2009,7,平鎮,29.79,Summer
新北市,2009,7,永和,30.52,Summer
臺南市,2009,7,安南,30.15,Summer
嘉義縣,2009,7,朴子,29.49,Summer
新北市,2009,7,汐止,29.72,Summer
南投縣,2009,7,竹山,28.14,Summer
新竹縣,2009,7,竹東,29.32,Summer
臺中市,2009,7,西屯,28.94,Summer
臺中市,2009,7,沙鹿,28.8,Summer
宜蘭縣,2009,7,宜蘭,30.26,Summer
臺中市,2009,7,忠明,29.19,Summer
新北市,2009,7,林口,28.88,Summer
高雄市,2009,7,林園,29.79,Summer
新北市,2009,7,板橋,30.48,Summer
臺北市,2009,7,松山,30.13,Summer
花蓮縣,2009,7,花蓮,29.32,Summer
高雄市,2009,7,前金,30.07,Summer
高雄市,2009,7,前鎮,30.13,Summer
南投縣,2009,7,南投,29.17,Summer
屏東縣,2009,7,屏東,29.66,Summer
屏東縣,2009,7,恆春,28.6,Summer
高雄市,2009,7,美濃,29.98,Summer
苗栗縣,2009,7,苗栗,30.3,Summer
南投縣,2009,7,埔里,27.63,Summer
桃園市,2009,7,桃園,30.37,Summer
基隆市,2009,7,基隆,27.58,Summer
雲林縣,2009,7,崙背,28.84,Summer
高雄市,2009,7,復興,29.53,Summer
新竹縣,2009,7,湖口,29.4,Summer
臺南市,2009,7,善化,28.89,Summer
新北市,2009,7,菜寮,30.7,Summer
臺北市,2009,7,陽明,22.63,Summer
新竹市,2009,7,新竹,30.36,Summer
新北市,2009,7,新店,29.73,Summer
新北市,2009,7,新莊,29.98,Summer
嘉義縣,2009,7,新港,29.3,Summer
臺南市,2009,7,新營,29.79,Summer
高雄市,2009,7,楠梓,29.96,Summer
新北市,2009,7,萬里,28.46,Summer
臺北市,2009,7,萬華,30.29,Summer
嘉義市,2009,7,嘉義,29.68,Summer
彰化縣,2009,7,彰化,30.38,Summer
雲林縣,2009,7,臺西,29.26,Summer
臺東縣,2009,7,臺東,29.38,Summer
臺南市,2009,7,臺南,29.59,Summer
高雄市,2009,7,鳳山,29.55,Summer
屏東縣,2009,7,潮州,29.25,Summer
彰化縣,2009,7,線西,30.04,Summer
高雄市,2009,7,橋頭,29.37,Summer
苗栗縣,2009,7,頭份,29.46,Summer
桃園市,2009,7,龍潭,28.35,Summer
臺中市,2009,7,豐原,29.22,Summer
臺東縣,2009,7,關山,28.6,Summer
桃園市,2009,7,觀音,29.87,Summer
彰化縣,2009,8,二林,29.71,Summer
新北市,2009,8,三重,30.74,Summer
苗栗縣,2009,8,三義,26.35,Summer
新北市,2009,8,土城,30.15,Summer
臺北市,2009,8,士林,29.79,Summer
臺中市,2009,8,大里,30.29,Summer
桃園市,2009,8,大園,30.26,Summer
高雄市,2009,8,大寮,29.13,Summer
高雄市,2009,8,小港,30.04,Summer
臺北市,2009,8,中山,30.7,Summer
桃園市,2009,8,中壢,29.2,Summer
高雄市,2009,8,仁武,29.87,Summer
雲林縣,2009,8,斗六,29.7,Summer
宜蘭縣,2009,8,冬山,29.41,Summer
臺北市,2009,8,古亭,30.24,Summer
高雄市,2009,8,左營,29.57,Summer
桃園市,2009,8,平鎮,29.63,Summer
新北市,2009,8,永和,30.4,Summer
臺南市,2009,8,安南,29.9,Summer
嘉義縣,2009,8,朴子,29.34,Summer
新北市,2009,8,汐止,29.52,Summer
南投縣,2009,8,竹山,27.82,Summer
新竹縣,2009,8,竹東,28.94,Summer
臺中市,2009,8,西屯,28.8,Summer
臺中市,2009,8,沙鹿,28.6,Summer
宜蘭縣,2009,8,宜蘭,29.91,Summer
臺中市,2009,8,忠明,28.81,Summer
新北市,2009,8,林口,28.6,Summer
高雄市,2009,8,林園,29.71,Summer
新北市,2009,8,板橋,30.14,Summer
臺北市,2009,8,松山,29.9,Summer
花蓮縣,2009,8,花蓮,29.5,Summer
高雄市,2009,8,前金,29.52,Summer
高雄市,2009,8,前鎮,30.19,Summer
南投縣,2009,8,南投,28.84,Summer
屏東縣,2009,8,屏東,29.19,Summer
屏東縣,2009,8,恆春,28.64,Summer
高雄市,2009,8,美濃,29.4,Summer
苗栗縣,2009,8,苗栗,29.75,Summer
南投縣,2009,8,埔里,27.34,Summer
桃園市,2009,8,桃園,30.28,Summer
基隆市,2009,8,基隆,28.92,Summer
雲林縣,2009,8,崙背,29.08,Summer
高雄市,2009,8,復興,29.58,Summer
新竹縣,2009,8,湖口,29.46,Summer
臺南市,2009,8,善化,28.86,Summer
新北市,2009,8,菜寮,30.4,Summer
臺北市,2009,8,陽明,22.81,Summer
新竹市,2009,8,新竹,30.17,Summer
新北市,2009,8,新店,29.5,Summer
新北市,2009,8,新莊,29.6,Summer
嘉義縣,2009,8,新港,29.04,Summer
臺南市,2009,8,新營,29.67,Summer
高雄市,2009,8,楠梓,29.69,Summer
新北市,2009,8,萬里,28.3,Summer
臺北市,2009,8,萬華,30.01,Summer
嘉義市,2009,8,嘉義,29.15,Summer
彰化縣,2009,8,彰化,29.97,Summer
雲林縣,2009,8,臺西,29.34,Summer
臺東縣,2009,8,臺東,29.79,Summer
臺南市,2009,8,臺南,29.81,Summer
高雄市,2009,8,鳳山,29.29,Summer
屏東縣,2009,8,潮州,29.54,Summer
彰化縣,2009,8,線西,30.04,Summer
高雄市,2009,8,橋頭,29.4,Summer
苗栗縣,2009,8,頭份,29.38,Summer
桃園市,2009,8,龍潭,28.08,Summer
臺中市,2009,8,豐原,28.93,Summer
臺東縣,2009,8,關山,29,Summer
桃園市,2009,8,觀音,29.8,Summer
彰化縣,2009,9,二林,29.65,fall
新北市,2009,9,三重,29.85,fall
苗栗縣,2009,9,三義,26.47,fall
新北市,2009,9,土城,29.89,fall
臺北市,2009,9,士林,29.09,fall
臺中市,2009,9,大里,30.87,fall
桃園市,2009,9,大園,29.65,fall
高雄市,2009,9,大寮,29.32,fall
高雄市,2009,9,小港,29.69,fall
臺北市,2009,9,中山,29.62,fall
桃園市,2009,9,中壢,28.77,fall
高雄市,2009,9,仁武,30.04,fall
雲林縣,2009,9,斗六,29.91,fall
宜蘭縣,2009,9,冬山,27.67,fall
臺北市,2009,9,古亭,29.5,fall
高雄市,2009,9,左營,29.77,fall
桃園市,2009,9,平鎮,29.24,fall
新北市,2009,9,永和,29.62,fall
臺南市,2009,9,安南,29.75,fall
嘉義縣,2009,9,朴子,29.75,fall
新北市,2009,9,汐止,28.44,fall
南投縣,2009,9,竹山,28.1,fall
新竹縣,2009,9,竹東,29.3,fall
臺中市,2009,9,西屯,29.19,fall
臺中市,2009,9,沙鹿,28.86,fall
宜蘭縣,2009,9,宜蘭,27.98,fall
臺中市,2009,9,忠明,30.11,fall
新北市,2009,9,林口,27.82,fall
高雄市,2009,9,林園,29.68,fall
新北市,2009,9,板橋,29.45,fall
臺北市,2009,9,松山,29.04,fall
花蓮縣,2009,9,花蓮,28.38,fall
高雄市,2009,9,前金,29.44,fall
高雄市,2009,9,前鎮,30.43,fall
南投縣,2009,9,南投,29.22,fall
屏東縣,2009,9,屏東,29.41,fall
屏東縣,2009,9,恆春,28.25,fall
高雄市,2009,9,美濃,29.24,fall
苗栗縣,2009,9,苗栗,29.87,fall
南投縣,2009,9,埔里,27.81,fall
桃園市,2009,9,桃園,29.47,fall
基隆市,2009,9,基隆,28.64,fall
雲林縣,2009,9,崙背,29.18,fall
高雄市,2009,9,復興,29.76,fall
新竹縣,2009,9,湖口,29.71,fall
臺南市,2009,9,善化,29.18,fall
新北市,2009,9,菜寮,29.57,fall
臺北市,2009,9,陽明,21.4,fall
新竹市,2009,9,新竹,30.43,fall
新北市,2009,9,新店,28.91,fall
新北市,2009,9,新莊,28.93,fall
嘉義縣,2009,9,新港,29.34,fall
臺南市,2009,9,新營,29.97,fall
高雄市,2009,9,楠梓,29.18,fall
新北市,2009,9,萬里,27.84,fall
臺北市,2009,9,萬華,29.17,fall
嘉義市,2009,9,嘉義,29.57,fall
彰化縣,2009,9,彰化,30.37,fall
雲林縣,2009,9,臺西,29.38,fall
臺東縣,2009,9,臺東,29.31,fall
臺南市,2009,9,臺南,30.02,fall
高雄市,2009,9,鳳山,29.62,fall
屏東縣,2009,9,潮州,28.63,fall
彰化縣,2009,9,線西,30.16,fall
高雄市,2009,9,橋頭,29.56,fall
苗栗縣,2009,9,頭份,29.38,fall
桃園市,2009,9,龍潭,27.85,fall
臺中市,2009,9,豐原,29.68,fall
臺東縣,2009,9,關山,27.67,fall
桃園市,2009,9,觀音,29.23,fall
彰化縣,2009,10,二林,25.48,fall
新北市,2009,10,三重,25.2,fall
苗栗縣,2009,10,三義,21.98,fall
新北市,2009,10,土城,24.86,fall
臺北市,2009,10,士林,24.91,fall
臺中市,2009,10,大里,26.93,fall
桃園市,2009,10,大園,24.9,fall
高雄市,2009,10,大寮,26.86,fall
高雄市,2009,10,小港,27.11,fall
臺北市,2009,10,中山,25.04,fall
